tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,kappa_h,gap
4,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.17391304347826086,5.75,23,True,971,Current.Ia,hindsight ceiling (offline oracle),3.5,0.5
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.18181818181818182,5.5,22,True,971,Current.Ib,hindsight ceiling (offline oracle),2.25,0.5
4,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.17391304347826086,5.75,23,True,971,Current.Ic,hindsight ceiling (offline oracle),2.75,0.5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,fixed margin (tuned on synthetic),,
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,fixed margin (tuned on synthetic),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Vc,fixed margin (tuned on synthetic),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,fixed margin (tuned on synthetic),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ib,fixed margin (tuned on synthetic),,
6,1,0,0.8571428571428571,1.0,0.923076923076923,1,1,1.0,0,0.0,0.0,0.029914529914529916,33.42857142857143,234,True,45,Current.Ic,fixed margin (tuned on synthetic),,
156,25,0,0.861878453038674,1.0,0.9258160237388724,2,2,1.0,0,0.0,0.0,0.7735042735042735,1.292817679558011,234,True,55,Voltage.Va,fixed margin (tuned on synthetic),,
72,90,0,0.4444444444444444,1.0,0.6153846153846153,2,2,1.0,0,0.0,0.0,0.6923076923076923,1.4444444444444444,234,True,55,Voltage.Vb,fixed margin (tuned on synthetic),,
46,48,0,0.48936170212765956,1.0,0.6571428571428571,3,3,1.0,0,0.0,0.0,0.4017094017094017,2.4893617021276593,234,True,55,Voltage.Vc,fixed margin (tuned on synthetic),,
147,33,0,0.8166666666666667,1.0,0.8990825688073394,2,2,1.0,0,0.0,0.0,0.7758620689655172,1.288888888888889,232,True,55,Current.Ia,fixed margin (tuned on synthetic),,
176,0,0,1.0,1.0,1.0,2,2,1.0,0,0.0,0.0,0.7553648068669528,1.3238636363636362,233,True,55,Current.Ib,fixed margin (tuned on synthetic),,
70,109,0,0.39106145251396646,1.0,0.5622489959839357,2,2,1.0,0,0.0,0.0,0.8443396226415094,1.1843575418994414,212,True,55,Current.Ic,fixed margin (tuned on synthetic),,
3,46,0,0.061224489795918366,1.0,0.11538461538461538,1,1,1.0,2,0.0,0.0,0.025600835945663532,39.06122448979592,1914,True,677,Voltage.Va,fixed margin (tuned on synthetic),,
0,69,0,0.0,0.0,0.0,0,0,,2,,,0.03605015673981191,27.73913043478261,1914,False,677,Voltage.Vb,fixed margin (tuned on synthetic),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1914,False,677,Voltage.Vc,fixed margin (tuned on synthetic),,
43,1283,12,0.032428355957767725,0.7818181818181819,0.062273714699493124,5,5,1.0,0,2.4,20.0,0.7864768683274022,1.2714932126696832,1686,True,677,Current.Ia,fixed margin (tuned on synthetic),,
55,1243,1,0.0423728813559322,0.9821428571428571,0.0812407680945347,4,4,1.0,0,0.25,2.0833333333333335,0.7823990355635925,1.278120184899846,1659,True,677,Current.Ib,fixed margin (tuned on synthetic),,
26,0,10,1.0,0.7222222222222222,0.8387096774193548,1,1,1.0,0,0.0,0.0,0.015767131594906003,63.42307692307693,1649,True,677,Current.Ic,fixed margin (tuned on synthetic),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Va,fixed margin (tuned on synthetic),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vb,fixed margin (tuned on synthetic),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vc,fixed margin (tuned on synthetic),,
